timestamp,sETH,MKR,SAI,DAI,WETH,SNX,USDC,WBTC,BAT,sUSD,CBIX7,TKN,LINK,LRC,SPANK,XCHF,REP,ZRX,DGX,ANT,RLC,GNO,RCN,DZAR,FUN,RING,cDAI,RPL,NMR,KNC,TUSD,HOT,AMPL,NEXO,PAXG,PNK,CH-ZG1235d,ULT,SAN,SNT,Other
1544618822000,0.00,42.52,38.51,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.25,0.00,8.24,0.00,0.51,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.26,0.00,0.00,0.00,0.00,0.00,0.00,1.40
1544689901000,0.00,12.68,15.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,2.02,0.00,0.99,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.43,0.00,0.00,0.00,0.00,0.00,0.00,0.58
1544761330000,0.00,12.81,17.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,2.00,0.00,18.59,0.00,0.25,0.00,0.00,0.33,0.00,0.00,0.00,0.00,6.71,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,10.71,0.00,0.00,0.00,0.17,0.00,0.01,1.75
1544832405000,0.00,3.70,86.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.00,46.07,0.00,0.25,0.25,0.00,9.56,0.00,0.00,0.00,0.00,2.32,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,2.76
1544903281000,0.00,10.11,78.07,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,2.25,0.00,0.00,64.09,0.00,0.00,0.00,0.00,0.41,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,9.75,0.00,0.00,0.00,0.00,0.00,0.00,0.82
1544974705000,0.00,0.04,44.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,23.40,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,15.55,0.00,0.00,0.00,0.75,0.00,0.00,1.64
1545047794000,0.00,10.33,9.77,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,12.81,0.11,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,4.12
1545121062000,0.00,19.06,71.32,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,26.25,0.00,0.50,0.27,0.00,0.00,0.00,0.08,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.85,0.00,0.00,0.00,0.26,0.00,0.00,15.55
1545194042000,0.00,115.72,61.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,1.00,0.83,0.00,74.67,0.00,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,24.39,0.00,0.00,0.00,0.10,0.00,0.00,50.51
1545268401000,0.00,66.99,168.69,0.00,0.05,0.00,0.00,0.00,0.26,0.00,0.00,5.04,0.25,0.00,17.00,0.00,0.50,0.20,0.00,0.00,0.00,0.00,0.00,0.00,17.77,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,4.53,0.00,0.00,0.00,0.02,0.00,0.00,15.20
1545342023000,0.00,52.36,84.56,0.00,0.12,0.00,0.00,0.00,0.27,0.00,0.00,3.01,1.04,0.00,11.07,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.27,0.00,0.00,0.00,0.00,6.40,0.00,0.00,0.00,4.87,0.00,0.00,0.00,0.02,0.00,0.00,27.99
1545415730000,0.00,16.54,60.60,0.00,0.04,0.00,0.00,0.00,0.86,0.00,0.00,21.04,0.00,0.00,5.12,0.00,0.25,0.28,0.00,0.19,0.00,0.00,0.00,0.00,5.11,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.28,0.00,0.00,36.33
1545489450000,0.00,14.20,43.73,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,4.50,0.25,0.00,27.80,8.06,0.00,0.07,0.00,0.03,0.00,0.01,0.00,0.00,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.89,0.00,0.00,0.00,2.19,0.00,0.00,9.90
